trial,sample,sampleid,cst,csf,flow
1,A,A1,1.38,140,10700
1,B,B1,2.28,360,3552
1,C,C1,1.08,99,4054.5
1,D,D1,0.78,17,6561
1,E,E1,0.91,138,8109
1,F,F1,0.46,29,4702
1,G,G1,1.52,341,3407
2,A,A2,1.62,191,9095
2,B,B2,2.61,393,3019.2
2,C,C2,1.34,100,3446.325
2,D,D2,0.91,38,5576.85
2,E,E2,1.12,214,6892.65
2,F,F2,0.52,38,3996.7
2,G,G2,1.93,362,2895.95
3,A,A3,0.98,165,12733
3,B,B3,1.39,345,4226.88
3,C,C3,0.8,94,4824.855
3,D,D3,0.6,48,7807.59
3,E,E3,0.64,176,9649.71
3,F,F3,0.39,58,5595.38
3,G,G3,0.98,332,4054.33
